Order_ID,Customer_ID,Order_Date,City,Restaurant_Type,Order_Value,Discount_Percentage,Delivery_Distance_km,Delivery_Time_min,Delivery_Cost,Net_Revenue,Profit,Payment_Mode,Rating,Order_Cancelled,Refund,Repeat_Customer
50053,10932,2025-02-15,Mumbai,Fast Food,289,50,7.5,37,72.73,-35.92,-108.65,Wallet,4,No,No,No
50054,11557,2025-01-27,Mumbai,North Indian,398,5,7.4,52,91.19,112.06,20.87,UPI,3,No,No,No
50055,10461,2025-02-28,Delhi,Biryani,307,20,6.5,42,90.19,45.14,-45.05,Card,4,No,No,Yes
50056,10143,2025-05-22,Kolkata,Desserts,413,0,3.0,29,31.31,110.86,79.55,Wallet,5,No,No,Yes
50057,10707,2025-06-20,Hyderabad,North Indian,476,25,3.3,30,44.52,5.72,-38.8,Wallet,5,No,No,No
50058,10791,2025-12-06,Kolkata,South Indian,512,50,8.6,48,101.0,-91.76,-192.76,Card,4,No,Yes,Yes
50059,10840,2025-12-02,Lucknow,Biryani,335,15,5.6,54,84.12,57.05,-27.07,Wallet,4,No,No,No
50060,11109,2025-01-19,Hyderabad,Pizza,437,0,4.4,50,66.89,122.54,55.65,UPI,2,No,Yes,No
50061,10095,2025-06-16,Kolkata,Fast Food,353,20,4.3,38,52.83,32.86,-19.97,Card,2,Yes,No,No
50062,10476,2025-08-25,Pune,Fast Food,120,10,2.7,27,41.46,34.4,-7.06,COD,4,No,No,No
50063,10936,2025-06-04,Mumbai,Fast Food,318,20,3.5,33,47.98,27.36,-20.62,UPI,4,No,No,Yes
50064,11242,2025-09-12,Kolkata,Desserts,171,10,5.5,40,72.7,53.52,-19.18,UPI,4,No,No,Yes
50065,11286,2025-11-27,Bangalore,Chinese,381,40,7.3,37,84.98,-24.78,-109.76,COD,5,No,No,Yes
50066,10337,2025-05-12,Jaipur,Healthy,371,30,7.1,47,86.6,12.92,-73.68,Wallet,3,No,No,No
50067,11648,2025-10-13,Delhi,Chinese,371,25,8.0,43,81.0,36.87,-44.13,UPI,3,No,No,Yes
50068,11269,2025-10-15,Mumbai,South Indian,154,25,3.2,24,43.19,15.38,-27.81,Card,5,No,Yes,Yes
50069,11101,2025-03-11,Delhi,Fast Food,256,20,8.6,45,81.09,56.72,-24.37,COD,4,No,No,No
50070,10068,2025-12-20,Delhi,Fast Food,243,25,9.5,33,87.92,47.71,-40.21,Wallet,4,No,No,Yes
50071,10188,2025-12-06,Mumbai,South Indian,273,50,5.9,36,62.53,-41.04,-103.57,Card,4,No,No,No
50072,10673,2025-03-17,Kolkata,North Indian,761,20,4.1,40,54.03,39.82,-14.21,COD,4,No,No,No
50073,10033,2025-03-31,Mumbai,Biryani,445,15,10.7,50,111.49,86.15,-25.34,COD,3,No,No,No
50074,10939,2025-11-26,Lucknow,Biryani,434,15,2.9,42,48.58,50.38,1.8,COD,1,Yes,No,No
50075,10781,2025-11-02,Hyderabad,Fast Food,279,30,4.4,28,45.27,4.08,-41.19,COD,5,No,No,Yes
50076,11695,2025-08-21,Delhi,Chinese,447,50,4.4,32,47.68,-98.76,-146.44,COD,4,No,No,No
50077,11663,2025-03-08,Hyderabad,North Indian,412,15,3.3,28,36.7,48.84,12.14,COD,5,No,No,Yes
50078,10213,2025-10-23,Hyderabad,Biryani,443,20,0.8,30,31.74,28.86,-2.88,UPI,5,No,No,No
50079,11248,2025-12-03,Kolkata,Pizza,675,10,6.7,63,97.99,121.2,23.21,UPI,1,No,No,No
50080,10188,2025-09-29,Mumbai,Fast Food,398,25,4.0,27,50.78,12.06,-38.72,COD,5,No,No,Yes
50081,10908,2025-12-05,Delhi,South Indian,319,10,3.8,37,59.06,61.08,2.02,UPI,4,No,No,Yes
50082,10016,2025-04-15,Mumbai,Pizza,584,0,6.3,43,72.1,166.28,94.18,COD,4,No,No,No
50083,10148,2025-07-23,Jaipur,Biryani,449,20,10.3,55,112.35,63.98,-48.37,Wallet,2,No,Yes,No
50084,11413,2025-07-05,Bangalore,Desserts,396,15,5.3,28,67.67,59.52,-8.15,Card,5,No,No,Yes
50085,11590,2025-06-28,Delhi,Healthy,340,10,4.4,36,59.48,67.2,7.72,Wallet,5,No,No,Yes
50086,11546,2025-10-16,Kolkata,Fast Food,244,20,7.8,54,90.19,51.68,-38.51,COD,1,Yes,Yes,No
50087,11212,2025-01-29,Delhi,Biryani,427,10,4.6,28,41.3,78.84,37.54,UPI,4,No,No,Yes
50088,10922,2025-10-20,Pune,Fast Food,319,40,9.0,45,107.73,-3.42,-111.15,Wallet,3,No,No,No
50089,11074,2025-09-25,Hyderabad,Fast Food,256,25,7.2,51,93.59,35.52,-58.07,COD,3,No,No,Yes
50090,11483,2025-12-03,Lucknow,South Indian,316,40,5.8,41,80.4,-22.08,-102.48,Wallet,4,No,No,Yes
50091,11318,2025-06-18,Kolkata,South Indian,121,20,7.0,41,74.07,44.42,-29.65,Wallet,3,No,No,Yes
50092,10394,2025-04-26,Lucknow,Biryani,605,20,4.1,44,52.31,36.7,-15.61,Card,4,No,No,No
50093,10333,2025-04-03,Kolkata,Chinese,298,15,5.7,41,65.54,55.06,-10.48,Card,4,No,No,Yes
50094,10634,2025-08-29,Jaipur,Pizza,391,25,3.9,46,53.0,11.67,-41.33,COD,2,No,No,No
50095,10107,2025-11-25,Delhi,Fast Food,240,5,8.5,49,100.43,91.8,-8.63,Card,4,No,No,Yes
50096,11673,2025-08-19,Jaipur,Healthy,446,15,3.2,41,53.85,51.22,-2.63,Card,4,No,No,Yes
50097,10282,2025-01-20,Mumbai,Chinese,303,15,4.8,37,59.89,50.01,-9.88,Wallet,4,No,No,No
50098,10228,2025-05-28,Mumbai,Biryani,576,0,5.4,42,61.75,159.12,97.37,COD,4,No,No,No
50099,10880,2025-01-01,Hyderabad,Pizza,601,50,2.3,40,47.28,-148.28,-195.56,Wallet,4,No,No,Yes
50100,10090,2025-11-22,Delhi,Fast Food,206,20,9.7,56,119.25,59.12,-60.13,Card,2,No,No,No
50101,11596,2025-12-17,Delhi,South Indian,132,15,12.4,57,136.82,64.24,-72.58,Wallet,3,Yes,Yes,No
50102,10519,2025-01-19,Kolkata,Pizza,669,10,2.7,42,53.28,100.28,47.0,Card,5,No,No,Yes
50103,11017,2025-12-21,Hyderabad,Healthy,366,0,1.1,16,25,100.52,75.52,COD,4,No,No,No
50104,10914,2025-11-05,Pune,Pizza,561,40,2.8,31,38.06,-80.98,-119.04,Wallet,4,No,No,No
50105,10745,2025-09-20,Kolkata,South Indian,262,30,6.4,45,79.57,17.44,-62.13,Card,4,No,No,No
50106,11391,2025-08-19,Lucknow,Fast Food,166,15,5.4,42,64.52,44.02,-20.5,UPI,1,Yes,No,No
50107,10537,2025-05-14,Pune,Pizza,410,10,2.5,37,44.62,69.2,24.58,COD,5,No,No,No
50108,11368,2025-06-27,Pune,North Indian,539,25,4.7,38,55.83,12.03,-43.8,Card,5,No,No,No
50109,11619,2025-09-10,Bangalore,North Indian,595,20,2.4,30,43.1,31.9,-11.2,UPI,5,No,No,No
50110,10257,2025-06-12,Pune,Fast Food,218,30,4.3,32,50.84,8.36,-42.48,UPI,5,No,No,Yes
50111,11062,2025-03-20,Mumbai,Pizza,488,20,6.7,44,83.12,49.96,-33.16,UPI,3,No,No,No
50112,11030,2025-11-25,Bangalore,Healthy,522,20,7.1,43,74.92,53.04,-21.88,COD,3,No,Yes,No
50113,11334,2025-04-18,Kolkata,Fast Food,211,10,3.5,41,51.49,46.32,-5.17,UPI,3,No,No,Yes
50114,10324,2025-08-14,Delhi,North Indian,501,10,4.5,42,61.57,87.12,25.55,Card,4,No,No,Yes
50115,10956,2025-03-04,Mumbai,Pizza,572,20,6.8,45,96.02,52.24,-43.78,Card,4,No,No,Yes
50116,11021,2025-09-21,Delhi,Desserts,250,15,4.2,31,62.75,42.7,-20.05,Wallet,5,No,No,No
50117,10586,2025-10-02,Bangalore,Biryani,484,15,6.4,41,76.04,72.28,-3.76,Wallet,3,No,No,Yes
50118,11566,2025-10-09,Mumbai,Healthy,339,15,4.7,35,51.13,51.93,0.8,UPI,4,No,No,Yes
50119,10093,2025-01-20,Bangalore,Fast Food,329,20,2.7,20,50.76,26.58,-24.18,COD,5,No,No,Yes
50120,11039,2025-09-18,Hyderabad,South Indian,472,25,3.9,39,53.68,9.24,-44.44,Wallet,4,No,No,Yes
50121,10544,2025-12-02,Kolkata,Chinese,277,5,2.0,26,29.95,67.09,37.14,UPI,5,No,No,Yes
50122,10391,2025-01-10,Delhi,Fast Food,348,20,3.9,20,53.66,30.36,-23.3,Wallet,5,No,No,Yes
50123,11077,2025-07-12,Mumbai,Pizza,467,25,7.0,44,72.72,27.99,-44.73,COD,3,No,No,Yes
50124,10461,2025-06-02,Kolkata,South Indian,161,20,4.2,44,57.12,28.42,-28.7,Wallet,4,No,No,No
50125,11677,2025-06-26,Lucknow,Chinese,447,10,4.7,40,63.66,81.84,18.18,COD,4,No,No,No
50126,10282,2025-02-25,Hyderabad,North Indian,613,20,5.4,46,74.74,44.66,-30.08,Card,3,No,Yes,Yes
50127,10834,2025-12-01,Lucknow,Desserts,260,10,3.7,29,37.62,53.4,15.78,UPI,1,Yes,No,No
50128,10359,2025-08-02,Jaipur,Pizza,337,15,12.1,85,150.8,78.59,-72.21,UPI,1,No,No,No
50129,10687,2025-05-26,Delhi,South Indian,244,20,0.8,19,40.6,24.88,-15.72,UPI,5,No,No,No
50130,11509,2025-06-22,Kolkata,North Indian,381,40,5.3,46,64.19,-36.78,-100.97,COD,1,Yes,No,No
50131,10509,2025-01-04,Mumbai,Pizza,247,25,5.3,49,75.08,24.39,-50.69,Wallet,2,No,Yes,No
50132,11406,2025-09-15,Lucknow,Desserts,120,40,5.6,40,72.16,12.0,-60.16,COD,4,No,No,No
50133,10852,2025-12-26,Hyderabad,North Indian,412,10,1.9,29,25,69.44,44.44,UPI,5,No,No,Yes
50134,10127,2025-10-08,Jaipur,Pizza,504,15,3.9,40,45.68,58.68,13.0,Card,4,No,No,Yes
50135,11052,2025-08-01,Delhi,Biryani,466,15,1.1,31,25,52.62,27.62,UPI,4,No,Yes,Yes
50136,10142,2025-08-30,Bangalore,Fast Food,123,20,5.7,17,75.31,36.66,-38.65,Card,5,No,No,Yes
50137,11339,2025-06-28,Bangalore,Healthy,425,30,4.3,30,34.87,-8.2,-43.07,Card,4,No,No,Yes
50138,10507,2025-08-24,Delhi,Pizza,452,30,8.6,44,100.4,15.44,-84.96,UPI,3,No,Yes,Yes
50139,10915,2025-11-03,Pune,Desserts,283,20,5.2,36,49.79,36.86,-12.93,COD,3,No,No,No
50140,11183,2025-11-03,Kolkata,Chinese,584,20,5.6,39,70.5,45.28,-25.22,Wallet,4,No,No,Yes
50141,11139,2025-09-11,Bangalore,Fast Food,225,25,3.8,23,53.72,16.05,-37.67,Card,4,No,No,Yes
50142,11651,2025-08-26,Jaipur,North Indian,421,10,8.1,57,112.22,99.12,-13.1,Card,1,No,No,No
50143,10106,2025-05-18,Delhi,South Indian,290,20,6.1,36,64.34,42.4,-21.94,Card,4,No,No,No
50144,10390,2025-03-02,Kolkata,Chinese,273,15,8.2,52,104.95,68.31,-36.64,COD,3,No,No,Yes
50145,11051,2025-09-12,Delhi,Chinese,176,10,4.5,35,57.73,48.12,-9.61,Wallet,4,No,No,Yes
50146,10605,2025-03-20,Mumbai,Pizza,484,40,3.6,29,59.13,-65.52,-124.65,COD,5,No,No,Yes
50147,10347,2025-03-13,Pune,North Indian,381,0,7.7,60,105.11,130.02,24.91,Card,2,No,No,No
50148,10140,2025-12-29,Bangalore,Pizza,530,40,4.4,43,56.85,-69.0,-125.85,COD,1,Yes,No,Yes
50149,11098,2025-05-27,Bangalore,Chinese,183,5,3.3,30,49.01,51.11,2.1,Wallet,5,No,No,Yes
50150,10162,2025-07-11,Lucknow,Fast Food,479,30,5.4,61,96.41,-5.92,-102.33,Wallet,2,No,Yes,No
50151,10115,2025-11-23,Bangalore,Pizza,520,20,2.7,31,39.81,30.4,-9.41,Wallet,4,No,Yes,No
50152,10556,2025-01-24,Lucknow,South Indian,415,5,4.7,42,62.55,98.75,36.2,UPI,5,No,No,No
50153,10613,2025-03-25,Hyderabad,North Indian,315,15,7.2,45,72.65,65.25,-7.4,UPI,4,No,No,Yes
50154,10896,2025-04-29,Kolkata,Fast Food,120,25,5.9,47,78.09,31.8,-46.29,Wallet,3,No,No,No
50155,10381,2025-12-15,Hyderabad,Fast Food,218,0,5.5,37,71.85,80.96,9.11,UPI,4,No,No,Yes
50156,10011,2025-06-07,Delhi,Chinese,388,20,6.0,37,68.54,43.76,-24.78,Wallet,4,No,No,No
50157,10026,2025-05-30,Delhi,Chinese,220,10,4.7,27,55.84,54.6,-1.24,Card,4,No,No,Yes
50158,10891,2025-05-22,Delhi,North Indian,488,20,6.8,40,74.93,50.56,-24.37,Wallet,5,No,No,Yes
50159,11647,2025-06-18,Delhi,Fast Food,167,10,6.7,33,65.73,60.24,-5.49,Wallet,4,No,No,Yes
50160,11180,2025-05-05,Mumbai,Pizza,417,5,5.7,45,73.67,105.09,31.42,Card,4,No,Yes,No
50161,10898,2025-05-30,Kolkata,Biryani,259,5,7.6,50,97.55,89.63,-7.92,Wallet,3,No,No,No
50162,11193,2025-07-25,Hyderabad,Healthy,306,25,13.3,67,141.86,45.82,-96.04,Card,1,No,Yes,No
50163,11326,2025-11-10,Bangalore,Healthy,290,50,4.2,29,53.93,-56.0,-109.93,Card,5,No,No,Yes
50164,10913,2025-07-11,Delhi,Chinese,291,0,2.9,35,48.18,84.02,35.84,COD,5,No,No,Yes
50165,10703,2025-08-22,Kolkata,North Indian,490,15,4.6,42,63.67,61.9,-1.77,Card,4,No,Yes,Yes
50166,11517,2025-05-05,Hyderabad,North Indian,551,30,4.0,33,48.73,-20.08,-68.81,Wallet,5,No,No,No
50167,11213,2025-08-08,Delhi,South Indian,456,0,6.3,48,89.42,138.12,48.7,Wallet,3,No,No,Yes
50168,11081,2025-11-24,Mumbai,Fast Food,343,15,4.3,35,63.51,49.81,-13.7,COD,5,No,No,Yes
50169,10242,2025-05-03,Mumbai,Pizza,396,5,4.2,34,56.49,92.52,36.03,Card,5,No,No,No
50170,11003,2025-05-28,Bangalore,Fast Food,321,0,4.5,37,67.28,97.62,30.34,Wallet,4,No,No,No
50171,11455,2025-08-16,Delhi,Biryani,455,10,9.0,48,100.21,108.6,8.39,UPI,3,No,No,No
50172,11173,2025-02-28,Mumbai,North Indian,442,25,8.1,42,90.82,35.34,-55.48,UPI,4,No,No,Yes
50173,10922,2025-05-15,Delhi,Chinese,491,10,0.8,27,25,78.92,53.92,Card,5,No,No,Yes
50174,11608,2025-04-16,Kolkata,Chinese,302,5,2.6,38,43.43,71.34,27.91,UPI,4,No,No,No
50175,10278,2025-07-30,Jaipur,Healthy,347,10,6.0,43,61.44,77.64,16.2,COD,4,No,No,No
50176,11286,2025-08-01,Delhi,Biryani,239,25,6.3,39,59.37,30.63,-28.74,UPI,4,No,No,No
50177,11497,2025-08-23,Pune,South Indian,121,50,7.6,47,82.51,11.72,-70.79,Wallet,3,No,No,Yes
50178,11615,2025-06-25,Jaipur,Chinese,403,0,8.3,58,103.19,138.46,35.27,Card,2,No,No,No
50179,11332,2025-06-04,Bangalore,Healthy,548,15,4.7,34,54.86,66.56,11.7,UPI,5,No,No,Yes
50180,11442,2025-02-18,Bangalore,North Indian,508,0,6.3,34,57.09,149.56,92.47,Wallet,4,No,No,Yes
50181,10183,2025-02-22,Bangalore,Fast Food,412,30,4.5,24,47.57,-5.96,-53.53,COD,5,No,No,Yes
50182,11480,2025-04-20,Pune,Biryani,508,0,2.2,40,49.9,131.76,81.86,Card,5,No,No,Yes
50183,10508,2025-05-22,Pune,Pizza,415,40,2.2,46,50.68,-54.7,-105.38,Wallet,3,No,No,Yes
50184,10606,2025-11-27,Bangalore,Desserts,213,15,7.8,32,75.72,61.71,-14.01,Wallet,5,No,No,Yes
50185,10749,2025-10-07,Pune,Chinese,306,10,8.8,53,104.81,89.52,-15.29,Wallet,3,No,No,No
50186,10868,2025-12-26,Delhi,South Indian,265,0,3.9,45,51.22,81.7,30.48,UPI,4,No,No,No
50187,10636,2025-12-24,Delhi,Healthy,472,5,5.3,35,60.22,112.04,51.82,Card,4,No,No,Yes
50188,11437,2025-01-06,Bangalore,Healthy,362,5,1.2,27,39.73,81.54,41.81,Wallet,5,No,No,Yes
50189,10558,2025-09-26,Bangalore,Chinese,339,15,4.4,23,55.02,50.13,-4.89,UPI,4,No,No,Yes
50190,10468,2025-09-18,Bangalore,Desserts,252,40,5.9,38,84.99,-9.96,-94.95,Card,4,No,No,No
50191,10660,2025-05-08,Delhi,Chinese,403,20,5.1,40,62.21,38.66,-23.55,Wallet,5,No,No,Yes
50192,10579,2025-06-09,Mumbai,North Indian,453,10,6.7,37,68.6,94.56,25.96,Card,5,No,No,Yes
50193,10309,2025-01-04,Lucknow,Biryani,379,0,2.0,32,47.16,103.38,56.22,Card,4,No,No,Yes
50194,10860,2025-09-09,Lucknow,Healthy,459,30,9.7,48,114.18,18.28,-95.9,Wallet,3,No,No,No
50195,10154,2025-10-31,Hyderabad,Fast Food,291,10,6.8,45,71.68,75.72,4.04,Card,3,No,No,Yes
50196,10279,2025-10-27,Bangalore,Biryani,449,15,3.3,30,39.14,51.43,12.29,COD,4,No,No,No
50197,11693,2025-12-27,Pune,Biryani,335,10,6.3,41,81.27,78.0,-3.27,Wallet,5,No,No,Yes
50198,10927,2025-10-12,Kolkata,Pizza,566,0,1.2,41,25,144.52,119.52,UPI,4,No,No,No
50199,11193,2025-10-28,Mumbai,Chinese,365,15,6.0,47,88.79,61.55,-27.24,Card,2,No,No,No
50200,11176,2025-08-10,Kolkata,Fast Food,340,10,8.6,52,107.04,92.4,-14.64,COD,3,No,Yes,No
50201,11022,2025-07-30,Jaipur,North Indian,506,20,7.1,53,86.38,52.72,-33.66,COD,2,No,No,No
50202,10983,2025-10-06,Kolkata,Fast Food,271,0,3.3,32,45.77,79.62,33.85,COD,5,No,No,Yes
50203,11571,2025-10-27,Lucknow,Healthy,484,30,7.9,55,98.07,8.68,-89.39,COD,4,No,No,No
50204,10356,2025-04-01,Mumbai,Fast Food,206,25,5.0,28,66.78,23.82,-42.96,Wallet,5,No,No,No
50205,11111,2025-06-08,Bangalore,Biryani,471,10,10.9,46,105.31,111.52,6.21,UPI,4,No,No,No
50206,10045,2025-03-17,Hyderabad,Desserts,120,50,5.9,27,78.16,1.8,-76.36,Card,4,No,No,Yes
50207,11500,2025-08-12,Kolkata,Healthy,335,25,4.4,48,61.38,16.35,-45.03,COD,2,No,No,No
50208,10261,2025-04-01,Pune,Healthy,355,50,7.4,54,96.52,-55.0,-151.52,Wallet,2,No,No,No
50209,10289,2025-06-19,Kolkata,Pizza,512,0,6.6,48,73.54,152.24,78.7,UPI,2,No,No,Yes
50210,10718,2025-05-12,Kolkata,Chinese,395,5,7.6,39,90.04,112.75,22.71,Card,5,No,No,No
50211,10334,2025-08-20,Bangalore,Desserts,342,0,4.6,31,62.45,102.84,40.39,Wallet,5,No,No,Yes
50212,11443,2025-01-16,Delhi,South Indian,206,50,10.2,44,111.4,-2.68,-114.08,UPI,4,No,No,Yes
50213,10102,2025-07-21,Hyderabad,Desserts,335,10,6.4,34,61.93,78.6,16.67,UPI,4,No,Yes,Yes
50214,10970,2025-03-01,Mumbai,Fast Food,321,20,1.8,28,48.87,26.42,-22.45,Card,4,No,No,Yes
50215,10551,2025-10-16,Bangalore,Chinese,319,20,4.7,40,60.04,34.58,-25.46,Wallet,5,No,No,Yes
50216,11173,2025-05-01,Delhi,Biryani,320,40,8.2,52,88.79,-8.4,-97.19,Card,3,No,Yes,No
50217,10434,2025-04-09,Bangalore,Fast Food,301,20,7.7,42,81.38,52.22,-29.16,Wallet,3,No,No,Yes
50218,11131,2025-06-16,Jaipur,North Indian,441,20,5.5,47,70.7,41.82,-28.88,UPI,3,No,No,No
50219,10217,2025-10-16,Kolkata,Chinese,192,10,8.4,47,88.26,73.44,-14.82,Wallet,3,No,No,No
50220,10080,2025-07-22,Jaipur,Fast Food,491,40,5.5,55,82.89,-55.38,-138.27,UPI,3,No,No,No
50221,10467,2025-03-10,Mumbai,Chinese,264,20,5.5,42,73.57,38.28,-35.29,COD,4,No,No,Yes
50222,11682,2025-01-29,Hyderabad,Biryani,541,30,4.2,38,55.03,-18.08,-73.11,Wallet,5,No,No,Yes
50223,10104,2025-07-04,Pune,Pizza,403,5,6.4,53,87.49,106.91,19.42,COD,4,No,No,No
50224,10706,2025-03-25,Kolkata,Pizza,478,30,8.7,58,103.17,13.96,-89.21,UPI,1,Yes,Yes,No
50225,11599,2025-12-16,Bangalore,Desserts,130,30,9.8,39,116.29,44.6,-71.69,COD,4,No,No,Yes
50226,10447,2025-08-27,Mumbai,North Indian,347,50,13.5,67,144.44,-42.16,-186.6,COD,2,No,No,No
50227,10567,2025-11-24,Mumbai,Pizza,294,5,2.0,25,36.44,69.98,33.54,COD,2,Yes,No,No
50228,11395,2025-03-13,Pune,South Indian,278,15,7.0,52,92.22,61.46,-30.76,Wallet,3,No,No,Yes
50229,11376,2025-07-03,Hyderabad,Desserts,120,0,7.7,46,93.55,72.6,-20.95,COD,2,No,No,No
